date,siteID,plotID,individualID,taxonID,scientificName,recordedBy
2015-08-04,BART,BART_051,NEON.PLA.D01.BART.04140,TSCA,Tsuga canadensis (L.) Carrière,6HzkzFDdLaNgPi31AaqxNPsuI5nRHqWu
2015-08-04,BART,BART_051,NEON.PLA.D01.BART.03804,TSCA,Tsuga canadensis (L.) Carrière,6HzkzFDdLaNgPi31AaqxNPsuI5nRHqWu
2015-07-22,BART,BART_034,NEON.PLA.D01.BART.02967,FAGR,Fagus grandifolia Ehrh.,zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I
2015-08-26,BART,BART_036,NEON.PLA.D01.BART.05106,FAGR,Fagus grandifolia Ehrh.,zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I
2015-08-04,BART,BART_051,NEON.PLA.D01.BART.04080,PICEA,Picea sp.,6HzkzFDdLaNgPi31AaqxNPsuI5nRHqWu
2015-08-04,BART,BART_039,NEON.PLA.D01.BART.02904A,TSCA,Tsuga canadensis (L.) Carrière,0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn
2015-07-22,BART,BART_041,NEON.PLA.D01.BART.02834,FAGR,Fagus grandifolia Ehrh.,zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I
2015-08-12,BART,BART_075,NEON.PLA.D01.BART.04038,FAGR,Fagus grandifolia Ehrh.,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-07-22,BART,BART_033,NEON.PLA.D01.BART.00940,FAGR,Fagus grandifolia Ehrh.,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-08-25,BART,BART_037,NEON.PLA.D01.BART.05229,FAGR,Fagus grandifolia Ehrh.,0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn
2015-07-28,BART,BART_073,NEON.PLA.D01.BART.03914,FAGR,Fagus grandifolia Ehrh.,bWvVSKjgptV89BwHA3h10JNaeV+PHmDU
2015-08-05,BART,BART_050,NEON.PLA.D01.BART.03499,FAGR,Fagus grandifolia Ehrh.,0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn
2015-07-21,BART,BART_047,NEON.PLA.D01.BART.02883,FAGR,Fagus grandifolia Ehrh.,wmtulGhdefWiPr5g1VRF0YnRBawgSBx1
2015-08-05,BART,BART_032,NEON.PLA.D01.BART.03351,ACRU,Acer rubrum L.,6HzkzFDdLaNgPi31AaqxNPsuI5nRHqWu
2015-07-22,BART,BART_034,NEON.PLA.D01.BART.02819,FAGR,Fagus grandifolia Ehrh.,zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I
2015-08-25,BART,BART_037,NEON.PLA.D01.BART.05086,FAGR,Fagus grandifolia Ehrh.,0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn
2015-08-05,BART,BART_032,NEON.PLA.D01.BART.03368,FAGR,Fagus grandifolia Ehrh.,6HzkzFDdLaNgPi31AaqxNPsuI5nRHqWu
2015-07-28,BART,BART_073,NEON.PLA.D01.BART.03927,ACRU,Acer rubrum L.,bWvVSKjgptV89BwHA3h10JNaeV+PHmDU
2015-08-13,BART,BART_046,NEON.PLA.D01.BART.04457,FAGR,Fagus grandifolia Ehrh.,bWvVSKjgptV89BwHA3h10JNaeV+PHmDU
2015-09-03,BART,BART_047,NEON.PLA.D01.BART.06067,FAGR,Fagus grandifolia Ehrh.,bWvVSKjgptV89BwHA3h10JNaeV+PHmDU
2015-09-03,BART,BART_047,NEON.PLA.D01.BART.06192,FAGR,Fagus grandifolia Ehrh.,bWvVSKjgptV89BwHA3h10JNaeV+PHmDU
2015-08-05,BART,BART_050,NEON.PLA.D01.BART.03329,ABIES,Abies sp.,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-07-22,BART,BART_041,NEON.PLA.D01.BART.02508,FAGR,Fagus grandifolia Ehrh.,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-08-13,BART,BART_046,NEON.PLA.D01.BART.04367,FAGR,Fagus grandifolia Ehrh.,bWvVSKjgptV89BwHA3h10JNaeV+PHmDU
2015-08-04,BART,BART_039,NEON.PLA.D01.BART.04180,FAGR,Fagus grandifolia Ehrh.,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-08-05,BART,BART_032,NEON.PLA.D01.BART.03518,BEPAP,Betula papyrifera Marshall var. papyrifera,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-07-22,BART,BART_033,NEON.PLA.D01.BART.02506,FAGR,Fagus grandifolia Ehrh.,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-07-21,BART,BART_047,NEON.PLA.D01.BART.02562,FAGR,Fagus grandifolia Ehrh.,wmtulGhdefWiPr5g1VRF0YnRBawgSBx1
2015-08-12,BART,BART_075,NEON.PLA.D01.BART.03254,FAGR,Fagus grandifolia Ehrh.,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-05-22,BART,BART_034,NEON.PLA.D01.BART.00802,BEAL2,Betula alleghaniensis Britton,WpWHyjh7ZEbsFcxLGlzbonUvwbNLZ84R
2015-08-06,BART,BART_042,NEON.PLA.D01.BART.03174A,FRAM2,Fraxinus americana L.,0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn
2015-08-13,BART,BART_046,NEON.PLA.D01.BART.04308,FAGR,Fagus grandifolia Ehrh.,bWvVSKjgptV89BwHA3h10JNaeV+PHmDU
2015-08-13,BART,BART_046,NEON.PLA.D01.BART.04313,FAGR,Fagus grandifolia Ehrh.,bWvVSKjgptV89BwHA3h10JNaeV+PHmDU
2015-07-22,BART,BART_041,NEON.PLA.D01.BART.00313,BEAL2,Betula alleghaniensis Britton,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-07-22,BART,BART_041,NEON.PLA.D01.BART.02745,FAGR,Fagus grandifolia Ehrh.,zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I
2015-08-12,BART,BART_075,NEON.PLA.D01.BART.03149,BEAL2,Betula alleghaniensis Britton,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-08-13,BART,BART_046,NEON.PLA.D01.BART.04385,FAGR,Fagus grandifolia Ehrh.,bWvVSKjgptV89BwHA3h10JNaeV+PHmDU
2015-08-24,BART,BART_072,NEON.PLA.D01.BART.05347,TSCA,Tsuga canadensis (L.) Carrière,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-08-25,BART,BART_037,NEON.PLA.D01.BART.05022,FAGR,Fagus grandifolia Ehrh.,0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn
2015-07-22,BART,BART_041,NEON.PLA.D01.BART.00317,FAGR,Fagus grandifolia Ehrh.,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-08-24,BART,BART_044,NEON.PLA.D01.BART.05462,FAGR,Fagus grandifolia Ehrh.,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-08-05,BART,BART_050,NEON.PLA.D01.BART.03304,FRAM2,Fraxinus americana L.,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-07-28,BART,BART_040,NEON.PLA.D01.BART.03644,VILA11,Viburnum lantanoides Michx.,bWvVSKjgptV89BwHA3h10JNaeV+PHmDU
2015-09-03,BART,BART_033,NEON.PLA.D01.BART.04517,FAGR,Fagus grandifolia Ehrh.,jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf
2015-07-21,BART,BART_047,NEON.PLA.D01.BART.02545,FAGR,Fagus grandifolia Ehrh.,wmtulGhdefWiPr5g1VRF0YnRBawgSBx1
