date,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,treesPresent,shrubsPresent,lianasPresent,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,recordedBy
06/06/15,BART,BART_042,tower,deciduousForest,44.060186,-71.288047,NA,NA,NA,800,400,800,wmtulGhdefWiPr5g1VRF0YnRBawgSBx1
07/16/15,BART,BART_047,tower,deciduousForest,44.064958,-71.290866,NA,NA,NA,800,400,800,XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO
07/21/15,BART,BART_047,tower,deciduousForest,44.064958,-71.290866,NA,NA,NA,800,400,800,XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO
07/22/15,BART,BART_034,tower,mixedForest,44.064283,-71.285609,NA,NA,NA,800,400,800,bWvVSKjgptV89BwHA3h10JNaeV+PHmDU
07/22/15,BART,BART_041,tower,deciduousForest,44.06534,-71.285606,NA,NA,NA,800,400,800,MRgCvwP2WueoGZahvpQXNZ+be1CYdCGm
07/22/15,BART,BART_033,tower,deciduousForest,44.063204,-71.283666,NA,NA,NA,800,100,800,XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO
07/22/15,BART,BART_041,tower,deciduousForest,44.06534,-71.285606,NA,NA,NA,800,400,800,MRgCvwP2WueoGZahvpQXNZ+be1CYdCGm
07/23/15,BART,BART_070,tower,mixedForest,44.064339,-71.281445,NA,NA,NA,800,400,800,xLZ+YqMrzOOIoCWuzuptWcn+zeO8dPFj
07/23/15,BART,BART_033,tower,deciduousForest,44.063204,-71.283666,NA,NA,NA,800,100,800,XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO
07/28/15,BART,BART_073,tower,mixedForest,44.06477,-71.28861,NA,NA,NA,800,100,800,wmtulGhdefWiPr5g1VRF0YnRBawgSBx1
07/28/15,BART,BART_040,tower,deciduousForest,44.065761,-71.291993,NA,NA,NA,800,100,800,MRgCvwP2WueoGZahvpQXNZ+be1CYdCGm
07/29/15,BART,BART_040,tower,deciduousForest,44.065761,-71.291993,NA,NA,NA,800,100,800,MRgCvwP2WueoGZahvpQXNZ+be1CYdCGm
08/04/15,BART,BART_071,tower,mixedForest,44.067946,-71.29062,NA,NA,NA,800,100,800,XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO
08/04/15,BART,BART_039,tower,deciduousForest,44.063683,-71.288953,NA,NA,NA,800,400,800,bWvVSKjgptV89BwHA3h10JNaeV+PHmDU
08/04/15,BART,BART_071,tower,mixedForest,44.067946,-71.29062,NA,NA,NA,800,100,800,XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO
